symbol,name,sector,score,signal,trend,momentum,money,value,close,lastDate,ret5,ret20,ret60,rs60,vsSma20,vsSma50,vsSma200,rsi,macdAboveSignal,adx,atrPct,cloud,fromHigh52,volRatio,support1,resistance1,netReal5B,netReal20B,power5,smt5B,liquidityB,eps,pe,sectorPE,peVsSector,entryLow,stop,target1,target2,rr,flags
غپآذر,شیر پگاه آذربایجان شرقی,محصولات غذایی و آشامیدنی به جز قند و شکر,50.1,خنثی,100,50,16.5,24,27010,20260922,-2.1,35.7,91,51.2,7.3,34.8,110.4,72.5,false,59.9,3.94,above,-5,1.01,26280,,-29.87,11.65,0.7,-4.17,19.46,3220,8.39,7.05,19,26280,25748,30199,32325,2.53,
وسین,بیمه سینا,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,50.1,خنثی,100,60,22.5,10,3610,20260922,9.1,97.6,198.3,158.5,23.5,82.9,144.1,93.4,true,84.2,2.74,above,0,0.92,2119,,-5.02,-2.7,4.32,-7.15,14.39,,,,,3511,3412,3907,4105,1.5,اشباع خرید | فاصله زیاد از MA20 | بدون EPS مثبت
کصدف,کاشی صدف سرام استقلال آباده,کاشی و سرامیک,50.1,خنثی,90,38,27,35,7550,20260922,-13.7,1.8,38.9,-1,-5.3,5.4,52.7,46.2,false,37.8,3.86,above,-15.2,0.52,7210,8180,0.27,-2.93,0.68,-4.28,7.63,548,13.78,,,7258,7064,8180,8900,1.3,
وخارزم,سرمایه گذاری خوارزمی,سرمایه گذاریها,50,خنثی,100,65,12.2,16,8820,20260922,0.9,17.4,76,36.2,6.2,27.1,123.3,68.7,false,64.9,3.25,above,-2,1.37,8290,9000,-139.53,-443.01,0.87,-106.76,113.23,830,10.63,7.13,49,8533,8147,9000,9573,0.27,واگرایی منفی RSI | خروج مستمر پول حقیقی
فبستم,صنایع ‌بسته‌بندی‌ مشهد,ساخت محصولات فلزی,50,خنثی,90,30,78.2,30,17220,20260922,-4.2,13,6.2,-33.6,-2.4,6.5,10.8,49.9,false,29.1,4.19,above,-13.9,0.61,16950,17430,0.48,2.54,1.23,0.33,1.11,396,43.48,,,16950,16589,17430,17900,0.33,نقدشوندگی پایین | P/E بالا (43)
وبملت,بانک ملت,بانکها و موسسات اعتباری,50,خنثی,70,30,2,90,1444,20260922,-8.3,1.4,8.1,-31.7,-5,7.7,41.1,47.9,false,23.1,3.79,above,-10.9,0.79,1375,1611,-1084.18,-1849.42,0.44,-1972.79,1374.44,454,3.18,5.4,-41.1,1389,1348,1611,1720,1.73,واگرایی منفی RSI | خروج مستمر پول حقیقی
نیروترانسفو,کارخانجات تولیدی نیروترانسفو,ماشین آلات و دستگاه‌های برقی,50,خنثی,100,65,2,26,26130,20260922,-10.7,2.3,71.7,31.9,0.7,11.8,,52.7,false,44.4,3.55,above,-13.3,0.67,22850,27510,-34.89,-20.69,0.4,-38.38,32.96,2731,9.57,5.95,60.8,25201,24272,27510,30140,0.74,واگرایی منفی RSI
شرنگی,شیمیایی رنگین,محصولات شیمیایی,50,خنثی,90,65,36,4,18860,20260922,-0.5,2.1,52.1,12.3,-2.1,16.6,58.5,56.1,false,51.9,4.44,above,-8.5,0.65,18020,20610,-0.5,-9.09,1.69,2.18,3.2,317,59.5,8.01,642.8,18023,17602,20610,22283,1.39,خروج مستمر پول حقیقی | P/E بالا (59)
تپکو,تولیدتجهیزات‌سنگین‌هپکو,ماشین آلات و تجهیزات,50,خنثی,100,53,27.5,10,553,20260922,-12.1,30.1,32.3,-7.5,1.5,21.4,34.8,58.4,false,56,3.14,above,-13.9,0.88,510,642,-10.47,38.6,0.51,-55.37,30.08,,,,,536,510,642,677,2.05,بدون EPS مثبت
ددام,داروسازی زاگرس فارمد پارس,مواد و محصولات دارویی,49.9,خنثی,100,65,0.5,27,12640,20260922,-13.1,42,84.1,44.3,0.5,35.6,102.5,59.5,false,65.1,3.85,above,-15.6,0.59,8020,14980,-27.66,-47.37,0.64,-17.85,25.46,887,14.25,12.91,10.4,12153,11666,14980,15954,2.4,خروج مستمر پول حقیقی
سیمرغ,سیمرغ,زراعت و خدمات وابسته,49.8,خنثی,100,65,1,26,5500,20260922,-9.7,20.6,88.9,49.1,1.8,27.7,109,60.1,false,67.4,3.1,above,-12.3,1.23,5240,6270,-23.51,-43.23,0.34,-45.71,15.29,513,10.72,6.33,69.4,5330,5155,6270,6611,2.23,واگرایی منفی RSI | خروج مستمر پول حقیقی
وسنا,سرمایه گذاری نیروگاهی ایران,سرمایه گذاریها,49.8,خنثی,100,60,11,20,45670,20260922,7.3,57.5,173.8,134,21.1,58.7,153.9,88.3,true,82.8,2.63,above,-0.3,1.25,24074,,-28.66,-43.24,0.65,-67.67,22.86,998,45.76,,,44467,43265,49278,51683,1.5,اشباع خرید | فاصله زیاد از MA20 | خروج مستمر پول حقیقی | P/E بالا (46)
اعتلا,شرکت سرمایه گذاری اعتلاء البرز,سرمایه گذاریها,49.8,خنثی,70,20,17,82,2283,20260922,-9.5,-3.7,26.7,-13.1,-4.2,5.4,37.9,45.5,false,32.7,3.86,above,-11.6,0.69,2253,2380,-2.77,3.48,0.73,-2.97,4.03,377,6.06,8.73,-30.6,2253,2209,2380,2418,1.31,
زهلال,کشت و صنعت هلال,زراعت و خدمات وابسته,49.6,خنثی,75,45,35.5,37,51140,20260922,-4.5,8.9,,,-0.2,6,,54.3,false,32.2,3.8,,-7.5,0.76,50045,55280,-4.75,-1.26,8.05,30.79,13.83,6307,8.11,8.07,0.5,50045,49072,55280,59171,2,
آینده,بازرگانی آینده سازان بهشت پارس,زراعت و خدمات وابسته,49.6,خنثی,90,75,60.5,10,4640,20260922,5.9,30.3,44.2,4.4,12.2,12.9,3.5,75.7,true,31.4,2.16,above,-36.4,1.36,4445,4719,0,0.24,6.4,0.97,0.28,,,,,4540,4395,4719,4804,0.32,نقدشوندگی پایین | بدون EPS مثبت
وغدیر,سرمایه‌گذاری‌غدیر(هلدینگ‌,شرکتهای چند رشته ای صنعتی,49.6,خنثی,90,53,1,47,20490,20260922,-6.8,11.1,36.3,-3.5,-0.1,17.1,59,56.1,false,40.6,3.93,above,-10.5,0.81,20260,22890,-313.15,-232.49,0.36,-346.48,222.37,1940,10.56,10.88,-2.9,20260,19857,22890,24501,3.79,واگرایی منفی RSI | خروج مستمر پول حقیقی
شپنا,پالایش نفت اصفهان,فراورده های نفتی، کک و سوخت هسته ای,49.5,خنثی,70,50,17,57,12400,20260922,-12.5,7.7,64.2,24.4,-6.4,5.9,89.5,45.5,false,40.6,4.13,above,-15.5,0.79,11930,14670,-1011.27,1007.07,0.31,-1823.7,1041.49,1816,6.83,6.26,9.1,11930,11674,14670,15695,3.13,
کیسون,شرکت کیسون,خدمات فنی و مهندسی,49.5,خنثی,90,45,18,36,1834,20260922,-9.3,5.8,26.9,-12.9,-2.4,11,11.9,50.8,false,31.4,3.88,above,-41,0.65,1806,1881,-3.96,14.65,0.54,-29.16,32.13,166,11.05,2.41,358.4,1806,1771,1881,1944,0.74,
اپال,فرآوری معدنی اپال کانی پارس,استخراج کانه های فلزی,49.4,خنثی,70,38,11.2,72,13780,20260922,-10.2,5.4,36.2,-3.7,-7.3,11.1,39.3,47.2,false,43.7,4.02,above,-17,0.46,11585,14170,-8.39,-31.12,1.19,-4.66,10.53,1442,9.56,13.76,-30.6,13227,12673,14170,16600,0.35,خروج مستمر پول حقیقی
غگلپا,شیر پاستوریزه پگاه گلپایگان,محصولات غذایی و آشامیدنی به جز قند و شکر,49.4,خنثی,100,65,1.5,24,22600,20260922,-6.1,15.2,62.8,23,1.8,18.6,79.2,60.2,false,59,3.71,above,-8,0.91,20710,24560,-20.59,-22.72,0.48,-19.23,8.15,2729,8.28,7.05,17.5,21762,20504,24560,26237,0.94,خروج مستمر پول حقیقی
سدور,سیمان‌ دورود,سیمان، آهک و گچ,49.3,خنثی,100,50,27,10,34130,20260922,-5.6,42.5,94.9,55.1,8.6,39.9,95.4,70.5,false,70.5,3.57,above,-8.3,1.11,25890,37220,-1.57,47.07,0.54,-24.34,13.44,,,7.14,,32910,31691,37220,39659,1.27,بدون EPS مثبت
کمرجان,بازرگانی و تولیدی مرجان کار,سایر محصولات کانی غیرفلزی,49.3,خنثی,100,70,2,19,4520,20260922,-7.9,10.5,-9.4,-49.2,1.1,9.6,36.7,53.5,true,33.9,3.65,above,-14.2,1.06,4400,4630,-14.88,-8.3,0.53,-10.72,9.37,299,15.12,10.33,46.3,4400,4318,4630,5180,0.55,
زبینا,کشاورزی و دامپروری بینالود,زراعت و خدمات وابسته,49.3,خنثی,65,40,17,70,13540,20260922,-5.6,-1.3,41.2,1.4,-3.5,4.4,79.2,48.6,false,29.8,4.1,above,-13.5,1.19,13335,14235,-5.4,6.59,0.64,-18.07,17.21,1911,7.09,8.07,-12.2,13335,13058,14235,15650,1.44,
کاسپین,داروسازی کاسپین تامین,مواد و محصولات دارویی,49.3,خنثی,90,65,0,37,34670,20260922,-7.1,0.2,53.8,14,-0.3,7.4,101,52.9,false,37.5,3.93,above,-8.9,0.56,32860,36690,-22.4,-20.2,0.41,-39.6,35.76,3831,9.05,8.86,2.1,33307,32178,36690,38060,0.81,واگرایی منفی RSI
کی بی سی,شرکت کی بی سی,مواد و محصولات دارویی,49.1,خنثی,90,65,2.5,34,11010,20260922,-13.6,18.9,82.6,42.8,-0.3,25.8,132.8,57.8,false,69.3,3.44,above,-16.1,1.03,7600,13120,-136.58,-69.87,0.26,-138.99,35.51,1043,10.56,8.86,19.1,10632,10253,13120,13877,2.79,خروج مستمر پول حقیقی
فرود,فولاد شاهرود,فلزات اساسی,49.1,خنثی,90,65,2.5,34,8560,20260922,-12.5,16,52.9,13,-1.1,25.9,105.4,56.2,false,68.8,3.59,above,-14.8,0.42,6200,10050,-11.88,-18.97,0.36,-16.17,14.22,910,9.41,8.05,16.9,8253,7946,10050,10664,2.43,خروج مستمر پول حقیقی
کپشیر,پشم‌شیشه‌ایران‌,سایر محصولات کانی غیرفلزی,49.1,خنثی,100,50,27.5,9,27020,20260922,-4.2,34.3,112.4,72.5,6.9,40.5,135.7,71.4,false,79.3,3.7,above,-8.3,1.22,14700,29450,-9.04,63.98,0.59,-40.01,28.06,1532,17.64,12.75,38.3,26020,25021,29450,31449,1.22,
غسالم,سالمین‌,محصولات غذایی و آشامیدنی به جز قند و شکر,49.1,خنثی,90,20,2.5,70,8480,20260922,-11.9,-5,10.6,-29.3,-4.1,3,47.1,45.8,false,21.6,3.94,above,-14.3,0.67,8000,8610,-9.41,-6.98,0.51,-12.14,12.73,1348,6.29,8.53,-26.3,8146,7833,8610,9270,0.2,
قرن,پدیده شیمی قرن,محصولات شیمیایی,49.1,خنثی,90,50,1.5,47,22660,20260922,-12.6,6,54.1,14.3,-1.9,6.5,85.2,49.7,false,42.1,3.73,above,-15.1,0.72,21900,22910,-27.84,-49.06,0.48,-30.74,18.64,2371,9.56,9.63,-0.8,21900,21477,22910,23330,0.21,خروج مستمر پول حقیقی
